Date,Natural_Gas,Crude_oil,Bitcoin,Ethereum,Nasdaq100,Apple,Tesla,Microsoft,Silver,Google,Nvidia,Berkshire,Netflix,Amazon,Meta,Gold
29-08-2023,2350,284170,98320,528630,249100000,52360000,133130000,19070000,51640,41160000,69600000,7010,4400000,38360000,20210000,174220
28-08-2023,58220,246580,28840,229390,185040000,42710000,107290000,14560000,32660,20090000,68160000,8950,2920000,33440000,14030000,115550
25-08-2023,31330,411410,39960,250860,247760000,51450000,106610000,21680000,32750,26760000,92530000,7040,5390000,44150000,23700000,166990
24-08-2023,76080,349230,41040,246620,294420000,53220000,99190000,21480000,39410,27890000,114380000,6620,5660000,41600000,16450000,137390
23-08-2023,93840,378150,60960,399710,234170000,51470000,98610000,19450000,33680,27430000,65350000,6400,8130000,40900000,16550000,170040
22-08-2023,111970,21690,47720,424510,199050000,41380000,130230000,16050000,18490,22030000,74940000,6750,3600000,32540000,12700000,131090
21-08-2023,102630,115870,41100,265910,236730000,44990000,134510000,21790000,18190,23970000,67690000,9180,3840000,40740000,18580000,138110
18-08-2023,128030,128090,93050,572900,256360000,61170000,136280000,24760000,54780,30500000,58380000,7190,4310000,48500000,35350000,114740
17-08-2023,119540,235580,132920,876700,239690000,61250000,119130000,20220000,66430,33060000,44870000,6840,6010000,46970000,23720000,152330
16-08-2023,142520,325400,43710,217470,211580000,45600000,111540000,19550000,46540,24920000,52210000,6920,3930000,41360000,18090000,128610
15-08-2023,158890,303210,33810,196600,202630000,43370000,87340000,16800000,61480,19650000,67190000,6790,3360000,42590000,11550000,167150
14-08-2023,93500,277350,39300,158110,219490000,43680000,98600000,18840000,53770,24700000,69030000,5090,3970000,47150000,15640000,120980
11/8/2023,163960,331250,27710,120550,198560000,52040000,99040000,24360000,52690,19590000,53310000,7430,3930000,42910000,14050000,122320
10/8/2023,230510,362190,32000,134210,205330000,52600000,109040000,20000000,75610,20070000,48880000,7050,5430000,54380000,14300000,168260
9/8/2023,312250,478140,49670,203580,232480000,57800000,99980000,19120000,69550,23300000,57890000,7860,3730000,48580000,18850000,139260
